id,category,subcategory,question,answer_type,options,tags,target_field,persona_id,persona_name,temperature,generation_round,split_type,shared_group_id,expert_role,model_answer,model_reasoning,model_score_1_to_5,predicted_fields,field_scores_json,confidence,target_confirmed,model_name,prompt_version,run_id,timestamp_utc,is_synthetic,error
1515,Interests,TechDomains,Which area sounds most appealing to you right now?,SingleChoice,computer vision;product management;NLP;healthtech;data engineering;e-commerce;web development;edtech;Not sure,"Interests,TechDomains,choice",Frontend Development,frontend_development_1,Senior Frontend Engineer,0.2,1,shared,frontend_development_shared_5,Senior Frontend Engineer,web development,The question points to TechDomains and Web Development is a relevant option.,,"[""Frontend Development"", ""UI / UX Design"", ""Product Management""]","{""Frontend Development"": 0.3619909502262444, ""Backend Development"": 0.06787330316742081, ""Full Stack Development"": 0.04524886877828055, ""Mobile Development"": 0.022624434389140274, ""Data Analysis"": 0.00904977375565611, ""Data Science"": 0.004524886877828055, ""Machine Learning"": 0.004524886877828055, ""AI Engineering"": 0.004524886877828055, ""Cyber Security"": 0.004524886877828055, ""DevOps"": 0.004524886877828055, ""QA / Software Testing"": 0.004524886877828055, ""Game Development"": 0.004524886877828055, ""UI / UX Design"": 0.27149321266968324, ""Product Management"": 0.1809954751131222, ""Technical Writing"": 0.004524886877828055, ""Software Architecture"": 0.004524886877828055}",0.9,True,qwen2.5:7b-instruct,v4.1.0,run_20260705T043128Z_5e57ae2e,2026-07-05T04:31:34Z,1,
258,Skills,Data,"Overall, working with data feels energizing to me, especially exploring a dataset to discover patterns. I can relate to this.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert",Frontend Development,frontend_development_1,Senior Frontend Engineer,0.2,1,shared,frontend_development_shared_5,Senior Frontend Engineer,3,This question relates more to Data Science and Analysis.,3,"[""Data Science"", ""Data Analysis"", ""Machine Learning""]","{""Frontend Development"": 0.0029239766081871348, ""Backend Development"": 0.0058479532163742695, ""Full Stack Development"": 0.008771929824561403, ""Mobile Development"": 0.011695906432748539, ""Data Analysis"": 0.2192982456140351, ""Data Science"": 0.24853801169590642, ""Machine Learning"": 0.19005847953216376, ""AI Engineering"": 0.16081871345029242, ""Cyber Security"": 0.029239766081871347, ""DevOps"": 0.02631578947368421, ""QA / Software Testing"": 0.023391812865497078, ""Game Development"": 0.020467836257309944, ""UI / UX Design"": 0.017543859649122806, ""Product Management"": 0.014619883040935673, ""Technical Writing"": 0.011695906432748539, ""Software Architecture"": 0.008771929824561403}",0.8,False,qwen2.5:7b-instruct,v4.1.0,run_20260705T043128Z_5e57ae2e,2026-07-05T04:31:37Z,1,
429,WorkStyle,Collaboration,I prefer to work with others on tasks like resolving conflicts respectfully. (at work),Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"WorkStyle,Collaboration,likert",Frontend Development,frontend_development_1,Senior Frontend Engineer,0.2,1,shared,frontend_development_shared_5,Senior Frontend Engineer,4,This question relates to Collaboration and WorkStyle.,4,"[""Product Management"", ""Technical Writing"", ""Frontend Development""]","{""Frontend Development"": 0.14184397163120566, ""Backend Development"": 0.035460992907801414, ""Full Stack Development"": 0.07092198581560283, ""Mobile Development"": 0.035460992907801414, ""Data Analysis"": 0.0070921985815602835, ""Data Science"": 0.0070921985815602835, ""Machine Learning"": 0.0070921985815602835, ""AI Engineering"": 0.0070921985815602835, ""Cyber Security"": 0.0070921985815602835, ""DevOps"": 0.035460992907801414, ""QA / Software Testing"": 0.035460992907801414, ""Game Development"": 0.0070921985815602835, ""UI / UX Design"": 0.07092198581560283, ""Product Management"": 0.2836879432624113, ""Technical Writing"": 0.21276595744680848, ""Software Architecture"": 0.035460992907801414}",0.8,True,qwen2.5:7b-instruct,v4.1.0,run_20260705T043128Z_5e57ae2e,2026-07-05T04:31:40Z,1,
245,Skills,Data,"Overall, working with data feels energizing to me, especially debugging why a metric changed suddenly. (when learning)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert",Frontend Development,frontend_development_1,Senior Frontend Engineer,0.2,1,shared,frontend_development_shared_5,Senior Frontend Engineer,Does not apply to my field,The question relates more to Data Science and Analytics.,,"[""Data Science"", ""Machine Learning"", ""Data Analysis""]","{""Frontend Development"": 0.0032258064516129032, ""Backend Development"": 0.0064516129032258064, ""Full Stack Development"": 0.009677419354838708, ""Mobile Development"": 0.012903225806451613, ""Data Analysis"": 0.0, ""Data Science"": 0.27419354838709675, ""Machine Learning"": 0.25161290322580643, ""AI Engineering"": 0.2225806451612903, ""Cyber Security"": 0.038709677419354833, ""DevOps"": 0.016129032258064516, ""QA / Software Testing"": 0.019354838709677417, ""Game Development"": 0.022580645161290325, ""UI / UX Design"": 0.025806451612903226, ""Product Management"": 0.029032258064516127, ""Technical Writing"": 0.03225806451612903, ""Software Architecture"": 0.035483870967741936}",0.95,False,qwen2.5:7b-instruct,v4.1.0,run_20260705T043128Z_5e57ae2e,2026-07-05T04:31:43Z,1,
1388,Interests,RoleTasks,How appealing is it to you to ensure data quality as part of a Data Engineer role?,SingleChoice,Not appealing;Slightly appealing;Neutral;Appealing;Very appealing,"Interests,RoleTasks,Data Engineer",Frontend Development,frontend_development_1,Senior Frontend Engineer,0.2,1,shared,frontend_development_shared_5,Senior Frontend Engineer,None,This question relates to the Data Engineering field.,,"[""Data Analysis"", ""Data Science"", ""Machine Learning""]","{""Frontend Development"": 0.0027624309392265192, ""Backend Development"": 0.0055248618784530384, ""Full Stack Development"": 0.008287292817679558, ""Mobile Development"": 0.011049723756906077, ""Data Analysis"": 0.23480662983425413, ""Data Science"": 0.2154696132596685, ""Machine Learning"": 0.19889502762430938, ""AI Engineering"": 0.19060773480662982, ""Cyber Security"": 0.03314917127071823, ""DevOps"": 0.024861878453038673, ""QA / Software Testing"": 0.013812154696132598, ""Game Development"": 0.008287292817679558, ""UI / UX Design"": 0.011049723756906077, ""Product Management"": 0.016574585635359115, ""Technical Writing"": 0.0055248618784530384, ""Software Architecture"": 0.019337016574585638}",0.95,False,qwen2.5:7b-instruct,v4.1.0,run_20260705T043128Z_5e57ae2e,2026-07-05T04:31:46Z,1,
608,Habits,DetailOrientation,"In general, i pay attention to details and often check my work for mistakes. (in a team)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Habits,DetailOrientation,likert",Frontend Development,frontend_development_1,Senior Frontend Engineer,0.2,1,shared,frontend_development_shared_5,Senior Frontend Engineer,3,"This question relates to Detail Orientation, which is relevant to both Frontend Development and Technical Writing.",3,"[""Frontend Development"", ""Technical Writing"", ""Backend Development""]","{""Frontend Development"": 0.39999999999999997, ""Backend Development"": 0.1142857142857143, ""Full Stack Development"": 0.08571428571428572, ""Mobile Development"": 0.0, ""Data Analysis"": 0.0, ""Data Science"": 0.0, ""Machine Learning"": 0.0, ""AI Engineering"": 0.0, ""Cyber Security"": 0.0, ""DevOps"": 0.0, ""QA / Software Testing"": 0.0, ""Game Development"": 0.0, ""UI / UX Design"": 0.05714285714285715, ""Product Management"": 0.0, ""Technical Writing"": 0.34285714285714286, ""Software Architecture"": 0.0}",0.8,True,qwen2.5:7b-instruct,v4.1.0,run_20260705T043128Z_5e57ae2e,2026-07-05T04:31:48Z,1,
1571,Interests,TechDomains,Which domain best matches what you want to do day-to-day?,SingleChoice,mobile apps;e-commerce;machine learning;full-stack development;edtech;healthtech;game development;UX/UI design;backend engineering;Not sure,"Interests,TechDomains,choice",Frontend Development,frontend_development_1,Senior Frontend Engineer,0.2,1,shared,frontend_development_shared_5,Senior Frontend Engineer,None,"This question is about daily work domains, not a specific skill level.",,"[""Full Stack Development"", ""Backend Development"", ""UI / UX Design""]","{""Frontend Development"": 0.15625, ""Backend Development"": 0.234375, ""Full Stack Development"": 0.3125, ""Mobile Development"": 0.078125, ""Data Analysis"": 0.0390625, ""Data Science"": 0.0390625, ""Machine Learning"": 0.0390625, ""AI Engineering"": 0.0390625, ""Cyber Security"": 0.015625, ""DevOps"": 0.0078125, ""QA / Software Testing"": 0.0078125, ""Game Development"": 0.0078125, ""UI / UX Design"": 0.0, ""Product Management"": 0.0078125, ""Technical Writing"": 0.0078125, ""Software Architecture"": 0.0078125}",0.8,False,qwen2.5:7b-instruct,v4.1.0,run_20260705T043128Z_5e57ae2e,2026-07-05T04:31:51Z,1,
816,Values,Growth,"Most of the time, i prioritize rapid growth and learning when choosing a role. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Values,Growth,likert",Frontend Development,frontend_development_1,Senior Frontend Engineer,0.2,1,shared,frontend_development_shared_5,Senior Frontend Engineer,This statement aligns more with values related to personal growth and career development rather than specific technical roles.,"The question relates to personal values and growth, not directly to frontend development skills or tasks.",2,"[""Product Management"", ""Technical Writing"", ""Frontend Development""]","{""Frontend Development"": 0.043478260869565216, ""Backend Development"": 0.017391304347826084, ""Full Stack Development"": 0.017391304347826084, ""Mobile Development"": 0.008695652173913042, ""Data Analysis"": 0.008695652173913042, ""Data Science"": 0.008695652173913042, ""Machine Learning"": 0.008695652173913042, ""AI Engineering"": 0.008695652173913042, ""Cyber Security"": 0.008695652173913042, ""DevOps"": 0.008695652173913042, ""QA / Software Testing"": 0.008695652173913042, ""Game Development"": 0.008695652173913042, ""UI / UX Design"": 0.008695652173913042, ""Product Management"": 0.6956521739130435, ""Technical Writing"": 0.13043478260869562, ""Software Architecture"": 0.008695652173913042}",0.75,True,qwen2.5:7b-instruct,v4.1.0,run_20260705T043128Z_5e57ae2e,2026-07-05T04:31:54Z,1,
1578,Interests,TechDomains,"If you had to choose one direction to focus on now, what would it be?",SingleChoice,frontend engineering;full-stack development;computer vision;mobile apps;UX/UI design;e-commerce;IoT;DevOps/SRE;Not sure,"Interests,TechDomains,choice",Frontend Development,frontend_development_1,Senior Frontend Engineer,0.2,1,shared,frontend_development_shared_5,Senior Frontend Engineer,frontend engineering,The question focuses on career orientation in tech domains.,,"[""Frontend Development"", ""UI / UX Design"", ""Product Management""]","{""Frontend Development"": 0.36363636363636365, ""Backend Development"": 0.06818181818181818, ""Full Stack Development"": 0.045454545454545456, ""Mobile Development"": 0.022727272727272728, ""Data Analysis"": 0.00909090909090909, ""Data Science"": 0.004545454545454545, ""Machine Learning"": 0.004545454545454545, ""AI Engineering"": 0.004545454545454545, ""Cyber Security"": 0.004545454545454545, ""DevOps"": 0.004545454545454545, ""QA / Software Testing"": 0.004545454545454545, ""Game Development"": 0.004545454545454545, ""UI / UX Design"": 0.2727272727272727, ""Product Management"": 0.18181818181818182, ""Technical Writing"": 0.0, ""Software Architecture"": 0.004545454545454545}",0.95,True,qwen2.5:7b-instruct,v4.1.0,run_20260705T043128Z_5e57ae2e,2026-07-05T04:31:57Z,1,
890,WorkStyle,RemoteHybrid,"When it matters, i would be productive in a research-oriented environment with time for deep work. (in a team)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"WorkStyle,RemoteHybrid,likert",Frontend Development,frontend_development_1,Senior Frontend Engineer,0.2,1,shared,frontend_development_shared_5,Senior Frontend Engineer,Disagree,This question relates more to Work Style and Productivity than Frontend Development.,2,"[""Product Management"", ""Technical Writing"", ""UI / UX Design""]","{""Frontend Development"": 0.0045045045045045045, ""Backend Development"": 0.0045045045045045045, ""Full Stack Development"": 0.0045045045045045045, ""Mobile Development"": 0.0045045045045045045, ""Data Analysis"": 0.0045045045045045045, ""Data Science"": 0.0045045045045045045, ""Machine Learning"": 0.0045045045045045045, ""AI Engineering"": 0.0045045045045045045, ""Cyber Security"": 0.0045045045045045045, ""DevOps"": 0.0045045045045045045, ""QA / Software Testing"": 0.0045045045045045045, ""Game Development"": 0.0045045045045045045, ""UI / UX Design"": 0.2027027027027027, ""Product Management"": 0.36036036036036034, ""Technical Writing"": 0.2927927927927928, ""Software Architecture"": 0.09009009009009009}",0.9,False,qwen2.5:7b-instruct,v4.1.0,run_20260705T043128Z_5e57ae2e,2026-07-05T04:32:00Z,1,
