question_id,labels,label_scores,label_sources
5,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""ORIENTATION_EXCELLENCE_FOCUSED"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.6499999999999999, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""ORIENTATION_EXCELLENCE_FOCUSED"": 0.7200000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""ORIENTATION_EXCELLENCE_FOCUSED"": ""rule""}"
7,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY"", ""TRAIT_EMPATHY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.6499999999999999, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.688888888888889, ""TRAIT_EMPATHY"": 0.6400000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""TRAIT_EMPATHY"": ""rule""}"
13,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY"", ""TRAIT_FLEXIBILITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.7166666666666667, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""TRAIT_FLEXIBILITY"": 0.6400000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""TRAIT_FLEXIBILITY"": ""rule""}"
19,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.6499999999999999, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata""}"
29,"[""INTEREST_DATA_WORK"", ""INTEREST_PRESENTING_INFORMATION"", ""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY"", ""TRAIT_RESILIENCE""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.6499999999999999, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""INTEREST_DATA_WORK"": 0.8, ""INTEREST_PRESENTING_INFORMATION"": 0.7200000000000001, ""TRAIT_RESILIENCE"": 0.6400000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""INTEREST_DATA_WORK"": ""rule"", ""INTEREST_PRESENTING_INFORMATION"": ""rule"", ""TRAIT_RESILIENCE"": ""rule""}"
31,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY"", ""TRAIT_FLEXIBILITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.7166666666666667, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""TRAIT_FLEXIBILITY"": 0.6400000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""TRAIT_FLEXIBILITY"": ""rule""}"
32,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.6499999999999999, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6533333333333334, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata""}"
34,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""ORIENTATION_EXCELLENCE_FOCUSED"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY"", ""TRAIT_FLEXIBILITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.7166666666666667, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""TRAIT_FLEXIBILITY"": 0.6400000000000001, ""ORIENTATION_EXCELLENCE_FOCUSED"": 0.7200000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""TRAIT_FLEXIBILITY"": ""rule"", ""ORIENTATION_EXCELLENCE_FOCUSED"": ""rule""}"
36,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY"", ""TRAIT_FLEXIBILITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.7166666666666667, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""TRAIT_FLEXIBILITY"": 0.6400000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""TRAIT_FLEXIBILITY"": ""rule""}"
38,"[""INTEREST_DATA_WORK"", ""INTEREST_PRESENTING_INFORMATION"", ""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.6499999999999999, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""INTEREST_DATA_WORK"": 0.8, ""INTEREST_PRESENTING_INFORMATION"": 0.7200000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""INTEREST_DATA_WORK"": ""rule"", ""INTEREST_PRESENTING_INFORMATION"": ""rule""}"
