id,category,subcategory,question,answer_type,options,tags
5,Personality,Creativity,"Most of the time, i enjoy turning complex concepts into simple analogies. This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
7,Personality,Creativity,I enjoy making things look and feel polished.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
13,Personality,Creativity,"In general, i enjoy brainstorming multiple solutions to a vague problem.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
19,Personality,Creativity,"Typically, i enjoy turning complex concepts into simple analogies. (at work)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
29,Personality,Creativity,I enjoy inventing a new way to visualize information. (under time pressure),Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
31,Personality,Creativity,I enjoy brainstorming multiple solutions to a vague problem.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
32,Personality,Creativity,I enjoy turning complex concepts into simple analogies. (in a team),Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
34,Personality,Creativity,I enjoy brainstorming multiple solutions to a vague problem. This describes me well.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
36,Personality,Creativity,"Typically, i enjoy brainstorming multiple solutions to a vague problem.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
38,Personality,Creativity,I enjoy inventing a new way to visualize information.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
39,Personality,Creativity,I enjoy inventing a new way to visualize information. I can relate to this.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
44,Personality,Creativity,"When it matters, i enjoy turning complex concepts into simple analogies. This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
48,Personality,Creativity,"In general, i enjoy brainstorming multiple solutions to a vague problem. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
49,Personality,Creativity,I enjoy inventing a new way to visualize information. This is true for me.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
55,Personality,Creativity,"In general, i enjoy inventing a new way to visualize information. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
56,Personality,Creativity,I enjoy turning complex concepts into simple analogies.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
57,Personality,Creativity,"In general, i enjoy inventing a new way to visualize information. I can relate to this.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
58,Personality,Creativity,"Most of the time, i enjoy brainstorming multiple solutions to a vague problem.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
59,Personality,Creativity,"Most of the time, i enjoy turning complex concepts into simple analogies. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
61,Personality,Creativity,I enjoy brainstorming multiple solutions to a vague problem. This is true for me.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
64,Personality,Creativity,I enjoy turning complex concepts into simple analogies. (in a team) This is true for me.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
65,Personality,Creativity,I enjoy brainstorming multiple solutions to a vague problem. (under time pressure),Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
67,Personality,Creativity,"Typically, i enjoy brainstorming multiple solutions to a vague problem. (under time pressure) I can relate to this.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
71,Personality,Creativity,"Most of the time, i enjoy inventing a new way to visualize information. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
72,Personality,Creativity,I enjoy making things look and feel polished. This describes me well.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
75,Personality,Creativity,"Typically, i enjoy brainstorming multiple solutions to a vague problem. I can relate to this.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
76,Personality,Creativity,I enjoy brainstorming multiple solutions to a vague problem. I can relate to this.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
77,Personality,Creativity,I enjoy making things look and feel polished. This is true for me.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
81,Personality,Creativity,I enjoy making things look and feel polished. (when learning) This is true for me.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
86,Personality,Creativity,"Typically, i enjoy inventing a new way to visualize information. This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
87,Personality,Creativity,"Overall, i enjoy inventing a new way to visualize information.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
89,Personality,Creativity,I enjoy inventing a new way to visualize information. (in a team),Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
91,Personality,Creativity,"When it matters, i enjoy brainstorming multiple solutions to a vague problem.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
92,Personality,Creativity,I enjoy inventing a new way to visualize information. This describes me well.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
93,Personality,Creativity,I enjoy inventing a new way to visualize information. (when I'm tired),Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
94,Personality,Creativity,"Most of the time, i enjoy inventing a new way to visualize information.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
99,Personality,Creativity,I enjoy making things look and feel polished. (when things are ambiguous) I can relate to this.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
101,Personality,Creativity,I enjoy making things look and feel polished. I can relate to this.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
102,Personality,Creativity,"Overall, i enjoy making things look and feel polished. (in a team)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
105,Personality,Creativity,"Most of the time, i enjoy making things look and feel polished.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
107,Personality,Creativity,I enjoy making things look and feel polished. (at work) I can relate to this.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
109,Personality,Creativity,"When it matters, i enjoy making things look and feel polished. This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
112,Personality,Creativity,"In general, i enjoy making things look and feel polished.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
114,Personality,Creativity,"Typically, i enjoy inventing a new way to visualize information.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
116,Personality,Creativity,"When it matters, i enjoy inventing a new way to visualize information.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
118,Personality,Creativity,"Typically, i enjoy brainstorming multiple solutions to a vague problem. (when learning)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
123,Personality,Creativity,"When it matters, i enjoy turning complex concepts into simple analogies.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
124,Personality,Creativity,"When it matters, i enjoy turning complex concepts into simple analogies. (at work)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
125,Personality,Creativity,"When it matters, i enjoy brainstorming multiple solutions to a vague problem. (in a team)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
135,Personality,Creativity,"In general, i enjoy inventing a new way to visualize information.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert"
