id,category,subcategory,question,answer_type,options,tags,quality_score,severity,flagged,reasons,word_count,char_count
418,WorkStyle,Collaboration,I prefer to work with others on tasks like presenting a solution in front of a group. (under time pressure) This is true for me.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"WorkStyle,Collaboration,likert",54,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Too long for quick comprehension (25 words) | Template variant likely near-duplicate,25,128
450,WorkStyle,Collaboration,I prefer to work with others on tasks like presenting a solution in front of a group. (when I'm tired) I can relate to this.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"WorkStyle,Collaboration,likert",54,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Too long for quick comprehension (26 words) | Template variant likely near-duplicate,26,124
558,WorkStyle,Collaboration,I prefer to work with others on tasks like presenting a solution in front of a group. (under time pressure) I can relate to this.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"WorkStyle,Collaboration,likert",54,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Too long for quick comprehension (25 words) | Template variant likely near-duplicate,25,129
64,Personality,Creativity,I enjoy turning complex concepts into simple analogies. (in a team) This is true for me.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",56,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Scenario may exclude beginners without relevant context | Template variant likely near-duplicate,16,88
81,Personality,Creativity,I enjoy making things look and feel polished. (when learning) This is true for me.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",56,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Scenario may exclude beginners without relevant context | Template variant likely near-duplicate,15,82
457,WorkStyle,Collaboration,I prefer to work with others on tasks like facilitating a group discussion. (in a team) I can relate to this.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"WorkStyle,Collaboration,likert",56,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Scenario may exclude beginners without relevant context | Template variant likely near-duplicate,21,109
519,WorkStyle,Collaboration,I prefer to work with others on tasks like presenting a solution in front of a group. (when learning) This describes me well.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"WorkStyle,Collaboration,likert",56,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Scenario may exclude beginners without relevant context | Template variant likely near-duplicate,23,125
412,Personality,Analytical,"In general, i like problems that require careful reasoning, such as breaking a big problem into smaller tasks. (when learning) This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Analytical,likert",60,high,1,Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Scenario may exclude beginners without relevant context | Too long for quick comprehension (25 words) | Template variant likely near-duplicate,25,147
5,Personality,Creativity,"Most of the time, i enjoy turning complex concepts into simple analogies. This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,16,97
39,Personality,Creativity,I enjoy inventing a new way to visualize information. I can relate to this.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,14,75
44,Personality,Creativity,"When it matters, i enjoy turning complex concepts into simple analogies. This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,15,96
49,Personality,Creativity,I enjoy inventing a new way to visualize information. This is true for me.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,14,74
55,Personality,Creativity,"In general, i enjoy inventing a new way to visualize information. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,16,86
57,Personality,Creativity,"In general, i enjoy inventing a new way to visualize information. I can relate to this.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,16,87
59,Personality,Creativity,"Most of the time, i enjoy turning complex concepts into simple analogies. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,17,94
71,Personality,Creativity,"Most of the time, i enjoy inventing a new way to visualize information. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,18,92
72,Personality,Creativity,I enjoy making things look and feel polished. This describes me well.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,12,69
77,Personality,Creativity,I enjoy making things look and feel polished. This is true for me.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,13,66
86,Personality,Creativity,"Typically, i enjoy inventing a new way to visualize information. This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,14,88
92,Personality,Creativity,I enjoy inventing a new way to visualize information. This describes me well.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,13,77
99,Personality,Creativity,I enjoy making things look and feel polished. (when things are ambiguous) I can relate to this.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,17,95
101,Personality,Creativity,I enjoy making things look and feel polished. I can relate to this.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,13,67
102,Personality,Creativity,"Overall, i enjoy making things look and feel polished. (in a team)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Scenario may exclude beginners without relevant context,12,66
107,Personality,Creativity,I enjoy making things look and feel polished. (at work) I can relate to this.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,15,77
109,Personality,Creativity,"When it matters, i enjoy making things look and feel polished. This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Personality,Creativity,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,15,86
419,WorkStyle,Collaboration,"In general, i prefer to work with others on tasks like facilitating a group discussion. I can relate to this.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"WorkStyle,Collaboration,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,20,109
433,WorkStyle,Collaboration,I prefer to work with others on tasks like mentoring a junior teammate. (at work) This is true for me.,Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"WorkStyle,Collaboration,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,20,102
434,WorkStyle,Collaboration,"Typically, i prefer to work with others on tasks like facilitating a group discussion. This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"WorkStyle,Collaboration,likert",62,high,1,Low field discriminativeness: no clear field signal words | Weak construct alignment with category/subcategory/tags axis | Contains hedging boilerplate that can reduce clarity | Template variant likely near-duplicate,18,110
